,Number,Name_of_Covered_Entity,latitude,longitude,State,Business_Associate_Involved,Individuals_Affected,Date_of_Breach,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,Summary,breach_start,breach_end,year
141,140,UNCG Speech and Hearing Center,35.759573,-79.0193,NC,,2300,1/1/1997,Hacking/IT Incident,Desktop Computer,2014-01-23,,1997-01-01,NA,1997
1030,1029,UMass Memorial Medical Center,42.407211,-71.382437,MA,,2387,5/6/2002,Unauthorized Access/Disclosure,"Electronic Medical Record, Paper",2014-05-27,,2002-05-06,NA,2002
212,211,Riverside Mercy Hospital and Ohio/Mercy Diagnostics,40.417287,-82.907123,OH,,1000,3/29/2003,Improper Disposal,Paper,2014-01-23,,2003-03-29,NA,2003
272,271,SW General Inc,34.048928,-111.093731,AZ,,566,5/1/2004,Theft,Paper,2014-01-23,,2004-05-01,NA,2004
521,520,Duke University Health System,35.759573,-79.0193,NC,,591,04/21/2004-02/16/2012,Unauthorized Access/Disclosure,Other,2014-01-23,,2004-04-21,2012-02-16,2004
780,779,Harris County,31.968599,-99.901813,TX,,21000,08/15/2005 - 06/14/2007,Unauthorized Access/Disclosure,Desktop Computer,2014-01-23,,2005-08-15,2007-06-14,2005
891,890,Methodist Dallas Medical Center,31.968599,-99.901813,TX,,44000,09/01/2005 - 08/01/2013,Unauthorized Access/Disclosure,Other,2014-01-23,,2005-09-01,2013-08-01,2005
816,815,"South Shore Physicians, PC",43.299428,-74.217933,NY,,8000,01/01/2006 - 01/12/2012,Theft,Network Server,2014-01-23,,2006-01-01,2012-01-12,2006
656,655,South Shore Medical Center,42.407211,-71.382437,MA,"Clearpoint Design, Inc.",4100,01/01/2007-11/15/2012,Hacking/IT Incident,Network Server,2014-01-23,,2007-01-01,2012-11-15,2007
97,96,"University of Louisville Research Foundation, Inc., DBA The Kidney Disease Program",37.839333,-84.270018,KY,,708,10/1/2008,Hacking/IT Incident,Network Server,2014-01-23,,2008-10-01,NA,2008
188,187,Puerto Rico Department of Health,18.220833,-66.590149,PR,"Triple-S Management, Corp.; Triple-S Salud, Inc.; ",475000,10/3/2008,"Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server,2014-01-23,,2008-10-03,NA,2008
208,207,Pinnacle Health System,41.203322,-77.194525,PA,"Gair Medical Transcription Services, Inc.",1085,10/1/2008,Unauthorized Access/Disclosure,Network Server,2014-01-23,"Pinnacle Health Systems was notified that a business associate, a medical transcription service, had a server compromised in which reports of Pinnacle patients could be viewed online.  The server compromise involved the protected health information of 1085 individuals.  The protected health information involved in the breach included names, Medicaid ID numbers, dates of birth, and primary physicians.  In response to this incident, the covered entity took steps to enforce the requirements of the Privacy & Security Rules.  The covered entity immediately discontinued its relationship with the business associate and engaged another medical transcription service.  The covered entity also contracted with forensic consultants to ensure that the cause of the compromise was found that that all traces of breached medical reports were removed from online and inaccessible in the future.  

",2008-10-01,NA,2008
223,222,OhioHealth Corporation dba Grant Medical Center,40.417287,-82.907123,OH,,501,1/1/2008,Theft,"Laptop, Desktop Computer",2014-01-23,,2008-01-01,NA,2008
322,321,Jackson Health System,27.664827,-81.515754,FL,,1562,10/1/2008,Unauthorized Access/Disclosure,"Other, Electronic Medical Record",2014-01-23,,2008-10-01,NA,2008
481,480,Duke University Health System,35.759573,-79.0193,NC,,1370,07/01/2008 - 11/30/2011,Unauthorized Access/Disclosure,Other,2014-04-23,,2008-07-01,2011-11-30,2008
565,564,Harris County Hospital District,31.968599,-99.901813,TX,,2875,04/14/2008 - 02/28/2011,Theft,"Electronic Medical Record, Paper",2014-04-23,,2008-04-14,2011-02-28,2008
